,Norm True,Norm Predicted
0,0.0,0.042
1,0.002,0.034
2,0.009,0.034
3,0.016,0.036
4,0.019,0.037
5,0.021,0.045
6,0.022,0.04
7,0.024,0.042
8,0.028,0.039
9,0.031,0.048
10,0.032,0.048
11,0.036,0.047
12,0.039,0.049
13,0.041,0.045
14,0.046,0.047
15,0.048,0.055
16,0.053,0.059
17,0.053,0.057
18,0.059,0.065
19,0.062,0.068
20,0.064,0.063
21,0.066,0.064
22,0.071,0.068
23,0.076,0.066
24,0.082,0.082
25,0.083,0.068
26,0.087,0.077
27,0.089,0.074
28,0.092,0.081
29,0.094,0.083
30,0.096,0.087
31,0.102,0.082
32,0.107,0.088
33,0.114,0.093
34,0.117,0.097
35,0.12,0.098
36,0.121,0.102
37,0.125,0.106
38,0.132,0.104
39,0.137,0.114
40,0.142,0.116
41,0.145,0.118
42,0.15,0.123
43,0.153,0.129
44,0.155,0.13
45,0.159,0.137
46,0.161,0.137
47,0.164,0.136
48,0.171,0.138
49,0.177,0.147
50,0.18,0.155
51,0.181,0.16
52,0.182,0.158
53,0.185,0.157
54,0.192,0.166
55,0.197,0.175
56,0.197,0.177
57,0.198,0.177
58,0.201,0.177
59,0.203,0.179
60,0.206,0.187
61,0.209,0.184
62,0.212,0.194
63,0.214,0.187
64,0.22,0.197
65,0.222,0.197
66,0.225,0.214
67,0.227,0.214
68,0.229,0.216
69,0.232,0.212
70,0.234,0.218
71,0.237,0.226
72,0.237,0.225
73,0.239,0.233
74,0.24,0.232
75,0.244,0.232
76,0.249,0.239
77,0.251,0.252
78,0.252,0.247
79,0.253,0.249
80,0.256,0.248
81,0.258,0.248
82,0.261,0.252
83,0.263,0.249
84,0.266,0.258
85,0.268,0.258
86,0.27,0.269
87,0.271,0.261
88,0.273,0.275
89,0.275,0.276
90,0.275,0.28
91,0.277,0.279
92,0.278,0.283
93,0.281,0.291
94,0.282,0.288
95,0.282,0.295
96,0.283,0.295
97,0.284,0.311
98,0.286,0.311
99,0.286,0.318
100,0.287,0.318
101,0.288,0.318
102,0.29,0.323
103,0.293,0.327
104,0.295,0.328
105,0.297,0.328
106,0.301,0.33
107,0.305,0.335
108,0.311,0.34
109,0.314,0.344
110,0.316,0.341
111,0.321,0.341
112,0.324,0.351
113,0.326,0.345
114,0.332,0.355
115,0.334,0.36
116,0.336,0.358
117,0.34,0.358
118,0.345,0.37
119,0.346,0.365
120,0.351,0.369
121,0.355,0.366
122,0.36,0.368
123,0.364,0.374
124,0.365,0.381
125,0.37,0.385
126,0.373,0.389
127,0.375,0.394
128,0.377,0.386
129,0.382,0.396
130,0.384,0.392
131,0.388,0.4
132,0.388,0.4
133,0.389,0.405
134,0.392,0.398
135,0.397,0.411
136,0.399,0.414
137,0.4,0.416
138,0.403,0.418
139,0.406,0.418
140,0.411,0.425
141,0.414,0.426
142,0.421,0.436
143,0.422,0.434
144,0.425,0.427
145,0.433,0.426
146,0.434,0.435
147,0.438,0.439
148,0.444,0.447
149,0.447,0.448
150,0.45,0.447
151,0.454,0.445
152,0.458,0.457
153,0.461,0.452
154,0.467,0.46
155,0.473,0.458
156,0.479,0.462
157,0.482,0.469
158,0.483,0.475
159,0.485,0.471
160,0.49,0.479
161,0.493,0.487
162,0.495,0.484
163,0.5,0.488
164,0.501,0.486
165,0.504,0.488
166,0.509,0.489
167,0.512,0.495
168,0.517,0.495
169,0.52,0.497
170,0.524,0.499
171,0.525,0.5
172,0.53,0.509
173,0.532,0.509
174,0.535,0.512
175,0.538,0.514
176,0.542,0.519
177,0.546,0.506
178,0.55,0.515
179,0.552,0.516
180,0.553,0.514
181,0.557,0.515
182,0.559,0.521
183,0.562,0.526
184,0.568,0.526
185,0.571,0.53
186,0.574,0.52
187,0.578,0.516
188,0.581,0.525
189,0.584,0.525
190,0.59,0.527
191,0.594,0.535
192,0.597,0.537
193,0.602,0.544
194,0.604,0.542
195,0.608,0.541
196,0.611,0.544
197,0.614,0.545
198,0.616,0.543
199,0.619,0.549
