,Norm True,Norm Predicted
0,0.0,0.217
1,0.004,0.215
2,0.007,0.197
3,0.009,0.198
4,0.011,0.203
5,0.012,0.189
6,0.013,0.178
7,0.015,0.187
8,0.017,0.155
9,0.02,0.166
10,0.024,0.14
11,0.029,0.134
12,0.034,0.124
13,0.037,0.111
14,0.04,0.095
15,0.048,0.096
16,0.052,0.087
17,0.057,0.076
18,0.061,0.081
19,0.063,0.068
20,0.065,0.059
21,0.069,0.077
22,0.077,0.089
23,0.081,0.067
24,0.083,0.061
25,0.088,0.087
26,0.093,0.104
27,0.096,0.083
28,0.097,0.103
29,0.101,0.107
30,0.104,0.098
31,0.111,0.081
32,0.118,0.092
33,0.122,0.124
34,0.125,0.118
35,0.126,0.114
36,0.128,0.124
37,0.129,0.118
38,0.133,0.129
39,0.139,0.124
40,0.143,0.105
41,0.146,0.134
42,0.152,0.145
43,0.154,0.136
44,0.157,0.133
45,0.16,0.153
46,0.162,0.159
47,0.163,0.151
48,0.167,0.149
49,0.169,0.186
50,0.171,0.183
51,0.172,0.174
52,0.176,0.189
53,0.179,0.206
54,0.182,0.191
55,0.184,0.2
56,0.186,0.22
57,0.189,0.236
58,0.19,0.211
59,0.192,0.237
60,0.193,0.242
61,0.196,0.234
62,0.199,0.238
63,0.201,0.23
64,0.203,0.251
65,0.204,0.252
66,0.206,0.246
67,0.208,0.245
68,0.209,0.254
69,0.212,0.228
70,0.214,0.26
71,0.215,0.232
72,0.218,0.239
73,0.221,0.225
74,0.225,0.211
75,0.227,0.224
76,0.229,0.203
77,0.232,0.198
78,0.236,0.229
79,0.239,0.207
80,0.241,0.197
81,0.245,0.219
82,0.247,0.219
83,0.248,0.202
84,0.252,0.207
85,0.255,0.211
86,0.257,0.217
87,0.257,0.21
88,0.261,0.211
89,0.263,0.233
90,0.266,0.233
91,0.268,0.218
92,0.27,0.221
93,0.271,0.239
94,0.273,0.226
95,0.274,0.214
96,0.276,0.221
97,0.277,0.221
98,0.277,0.23
99,0.277,0.234
100,0.276,0.248
101,0.275,0.25
102,0.275,0.249
103,0.274,0.262
104,0.274,0.278
105,0.274,0.276
106,0.275,0.27
107,0.276,0.278
108,0.278,0.264
109,0.279,0.271
110,0.279,0.265
111,0.279,0.25
112,0.279,0.257
113,0.28,0.28
114,0.28,0.242
115,0.28,0.273
116,0.28,0.265
117,0.278,0.273
118,0.276,0.274
119,0.276,0.275
120,0.275,0.284
121,0.274,0.283
122,0.273,0.251
123,0.272,0.252
124,0.271,0.251
125,0.271,0.263
126,0.271,0.267
127,0.271,0.263
128,0.27,0.278
129,0.268,0.276
130,0.267,0.254
131,0.267,0.269
132,0.267,0.27
133,0.268,0.285
134,0.268,0.247
135,0.27,0.269
136,0.272,0.286
137,0.273,0.268
138,0.275,0.25
139,0.276,0.278
140,0.278,0.258
141,0.278,0.247
142,0.28,0.258
143,0.282,0.269
144,0.282,0.264
145,0.285,0.299
146,0.286,0.313
147,0.29,0.328
148,0.293,0.331
149,0.294,0.346
150,0.298,0.352
151,0.305,0.352
152,0.307,0.319
153,0.314,0.328
154,0.317,0.339
155,0.319,0.328
156,0.325,0.317
157,0.327,0.308
158,0.33,0.35
159,0.334,0.322
160,0.339,0.313
161,0.342,0.32
162,0.347,0.325
163,0.352,0.3
164,0.353,0.321
165,0.356,0.309
166,0.357,0.303
167,0.361,0.324
168,0.364,0.321
169,0.366,0.311
170,0.37,0.357
171,0.373,0.354
172,0.375,0.343
173,0.376,0.358
174,0.38,0.375
175,0.38,0.367
176,0.385,0.365
177,0.386,0.36
178,0.391,0.384
179,0.393,0.373
180,0.393,0.376
181,0.397,0.414
182,0.399,0.428
183,0.401,0.407
184,0.404,0.417
185,0.408,0.408
186,0.413,0.421
187,0.414,0.414
188,0.416,0.42
189,0.418,0.438
190,0.42,0.433
191,0.427,0.437
192,0.428,0.438
193,0.43,0.442
194,0.432,0.445
195,0.435,0.442
196,0.438,0.433
197,0.44,0.454
198,0.442,0.437
199,0.444,0.471
200,0.446,0.464
201,0.45,0.494
202,0.451,0.493
203,0.453,0.496
204,0.457,0.495
205,0.459,0.498
206,0.461,0.489
207,0.465,0.481
208,0.468,0.458
209,0.473,0.477
210,0.477,0.484
211,0.478,0.477
212,0.482,0.484
213,0.486,0.483
214,0.488,0.466
215,0.493,0.48
216,0.499,0.47
217,0.505,0.472
218,0.511,0.475
219,0.516,0.471
220,0.518,0.499
221,0.522,0.486
222,0.526,0.482
223,0.53,0.508
224,0.532,0.507
225,0.535,0.514
226,0.537,0.531
227,0.541,0.53
228,0.55,0.535
229,0.554,0.521
230,0.558,0.501
231,0.56,0.522
232,0.564,0.529
233,0.567,0.506
234,0.572,0.522
235,0.577,0.546
236,0.577,0.542
237,0.58,0.551
238,0.587,0.565
239,0.59,0.558
240,0.592,0.548
241,0.595,0.579
242,0.599,0.577
243,0.605,0.558
244,0.61,0.579
245,0.612,0.594
246,0.615,0.609
247,0.622,0.604
248,0.625,0.609
249,0.627,0.62
250,0.63,0.611
251,0.632,0.612
252,0.637,0.635
253,0.638,0.611
254,0.643,0.631
255,0.645,0.637
256,0.648,0.639
257,0.651,0.648
258,0.653,0.647
259,0.657,0.637
260,0.661,0.639
261,0.662,0.639
262,0.666,0.649
263,0.668,0.662
264,0.67,0.643
265,0.674,0.67
266,0.677,0.66
267,0.68,0.658
268,0.684,0.664
269,0.687,0.673
270,0.689,0.645
271,0.693,0.646
272,0.698,0.645
273,0.701,0.658
274,0.702,0.649
275,0.706,0.645
276,0.709,0.665
277,0.711,0.635
278,0.715,0.655
279,0.718,0.642
280,0.721,0.641
281,0.724,0.635
282,0.728,0.647
283,0.73,0.636
284,0.737,0.652
285,0.74,0.609
286,0.748,0.625
287,0.749,0.643
288,0.752,0.633
289,0.755,0.646
290,0.758,0.639
291,0.761,0.64
292,0.766,0.644
293,0.767,0.637
294,0.771,0.658
295,0.773,0.66
296,0.776,0.657
297,0.778,0.656
298,0.783,0.673
299,0.784,0.68
300,0.786,0.673
301,0.793,0.692
302,0.794,0.706
303,0.796,0.692
304,0.799,0.699
305,0.801,0.72
306,0.801,0.74
307,0.802,0.728
308,0.804,0.747
309,0.804,0.754
310,0.806,0.738
311,0.811,0.748
312,0.812,0.749
313,0.814,0.741
314,0.82,0.756
315,0.821,0.761
316,0.822,0.773
317,0.824,0.764
318,0.828,0.762
319,0.831,0.743
320,0.837,0.743
321,0.84,0.742
322,0.843,0.743
323,0.845,0.741
324,0.848,0.747
325,0.85,0.74
326,0.853,0.756
327,0.856,0.762
328,0.858,0.767
329,0.86,0.763
330,0.861,0.774
331,0.867,0.787
332,0.871,0.766
333,0.876,0.777
334,0.878,0.785
335,0.879,0.795
336,0.88,0.794
337,0.884,0.801
338,0.886,0.798
339,0.89,0.815
340,0.891,0.82
341,0.891,0.826
342,0.892,0.835
343,0.893,0.824
344,0.897,0.819
345,0.898,0.827
346,0.898,0.817
347,0.899,0.836
348,0.899,0.828
349,0.899,0.825
350,0.899,0.824
351,0.899,0.824
352,0.898,0.81
353,0.898,0.81
354,0.898,0.804
355,0.898,0.82
356,0.898,0.803
357,0.898,0.819
358,0.898,0.829
359,0.898,0.842
360,0.898,0.84
361,0.898,0.828
362,0.898,0.842
363,0.898,0.855
364,0.897,0.857
365,0.897,0.836
366,0.896,0.85
367,0.896,0.845
368,0.895,0.865
369,0.894,0.858
370,0.892,0.862
371,0.891,0.869
372,0.89,0.869
373,0.887,0.869
374,0.886,0.867
375,0.881,0.858
376,0.881,0.847
377,0.879,0.861
378,0.877,0.869
379,0.876,0.877
380,0.875,0.867
381,0.873,0.856
382,0.867,0.869
383,0.864,0.853
384,0.86,0.854
385,0.857,0.867
386,0.854,0.875
387,0.854,0.865
388,0.851,0.866
389,0.848,0.864
390,0.847,0.864
391,0.844,0.864
392,0.842,0.862
393,0.835,0.877
394,0.832,0.856
395,0.828,0.866
396,0.825,0.857
397,0.823,0.861
398,0.822,0.859
399,0.821,0.86
400,0.818,0.844
401,0.814,0.832
402,0.81,0.848
403,0.81,0.853
404,0.809,0.856
405,0.804,0.859
406,0.804,0.868
407,0.802,0.855
408,0.795,0.863
409,0.794,0.863
410,0.792,0.872
411,0.79,0.873
412,0.787,0.862
413,0.784,0.864
414,0.778,0.863
415,0.776,0.856
416,0.773,0.852
417,0.768,0.84
418,0.763,0.841
419,0.761,0.856
420,0.76,0.859
421,0.757,0.842
422,0.751,0.856
423,0.748,0.84
424,0.746,0.842
425,0.741,0.851
426,0.739,0.847
427,0.735,0.844
428,0.731,0.844
429,0.729,0.842
430,0.727,0.855
431,0.724,0.851
432,0.72,0.874
433,0.718,0.886
434,0.717,0.888
435,0.716,0.889
436,0.714,0.905
437,0.71,0.908
438,0.706,0.915
439,0.704,0.908
440,0.7,0.906
441,0.697,0.923
442,0.695,0.902
443,0.691,0.907
444,0.691,0.886
445,0.686,0.901
446,0.683,0.897
447,0.68,0.914
448,0.678,0.93
449,0.676,0.949
450,0.673,0.92
451,0.667,0.947
452,0.666,0.927
453,0.662,0.934
454,0.658,0.93
455,0.654,0.915
456,0.651,0.916
457,0.647,0.909
458,0.644,0.897
459,0.642,0.902
460,0.639,0.909
461,0.635,0.909
462,0.631,0.91
463,0.627,0.914
464,0.624,0.913
465,0.619,0.901
466,0.615,0.912
467,0.614,0.912
468,0.613,0.929
469,0.611,0.907
470,0.609,0.911
471,0.607,0.923
472,0.605,0.911
473,0.602,0.911
474,0.6,0.892
475,0.598,0.903
476,0.595,0.908
477,0.593,0.901
478,0.592,0.906
479,0.591,0.903
480,0.59,0.908
481,0.588,0.913
482,0.588,0.89
483,0.584,0.904
484,0.583,0.904
485,0.583,0.903
486,0.583,0.936
487,0.582,0.924
488,0.582,0.934
489,0.581,0.912
490,0.58,0.92
491,0.579,0.923
492,0.578,0.921
493,0.576,0.927
494,0.575,0.928
495,0.571,0.931
496,0.57,0.941
497,0.569,0.932
498,0.568,0.932
499,0.567,0.938
500,0.566,0.938
501,0.566,0.944
502,0.565,0.928
503,0.564,0.952
504,0.564,0.94
505,0.562,0.944
506,0.562,0.945
507,0.562,0.95
508,0.56,0.946
509,0.559,0.943
510,0.558,0.943
511,0.554,0.944
512,0.553,0.933
513,0.55,0.936
514,0.546,0.924
515,0.545,0.934
516,0.544,0.933
517,0.539,0.931
518,0.538,0.928
519,0.536,0.935
520,0.534,0.937
521,0.532,0.93
522,0.528,0.944
523,0.525,0.951
524,0.523,0.942
525,0.52,0.956
526,0.518,0.945
527,0.515,0.962
528,0.511,0.955
529,0.51,0.927
530,0.505,0.928
531,0.502,0.929
532,0.499,0.938
533,0.495,0.942
534,0.494,0.939
535,0.494,0.958
536,0.492,0.962
537,0.489,0.95
538,0.487,0.955
