,Norm True,Norm Predicted
0,0.0,0.026
1,0.002,0.027
2,0.004,0.026
3,0.008,0.026
4,0.011,0.025
5,0.014,0.025
6,0.022,0.027
7,0.023,0.033
8,0.024,0.036
9,0.027,0.039
10,0.032,0.044
11,0.035,0.046
12,0.035,0.051
13,0.037,0.052
14,0.041,0.056
15,0.043,0.058
16,0.045,0.061
17,0.047,0.064
18,0.047,0.068
19,0.051,0.068
20,0.055,0.07
21,0.058,0.072
22,0.06,0.072
23,0.065,0.076
24,0.067,0.081
25,0.069,0.083
26,0.072,0.087
27,0.073,0.088
28,0.074,0.092
29,0.075,0.093
30,0.078,0.093
31,0.08,0.093
32,0.085,0.098
33,0.087,0.098
34,0.093,0.102
35,0.098,0.108
36,0.1,0.114
37,0.102,0.117
38,0.105,0.118
39,0.109,0.122
40,0.113,0.125
41,0.118,0.127
42,0.12,0.131
43,0.121,0.135
44,0.126,0.139
45,0.127,0.141
46,0.129,0.144
47,0.129,0.146
48,0.131,0.149
49,0.134,0.15
50,0.138,0.152
51,0.14,0.155
52,0.146,0.158
53,0.148,0.159
54,0.149,0.161
55,0.154,0.165
56,0.154,0.167
57,0.159,0.169
58,0.164,0.172
59,0.167,0.175
60,0.175,0.18
61,0.176,0.183
62,0.179,0.186
63,0.18,0.188
64,0.183,0.19
65,0.185,0.194
66,0.187,0.195
67,0.192,0.196
68,0.198,0.198
69,0.202,0.2
70,0.203,0.205
71,0.207,0.207
72,0.209,0.208
73,0.214,0.21
74,0.217,0.213
75,0.219,0.219
76,0.22,0.222
77,0.221,0.226
78,0.222,0.229
79,0.226,0.23
80,0.23,0.231
81,0.231,0.234
82,0.233,0.235
83,0.234,0.238
84,0.235,0.24
85,0.238,0.242
86,0.24,0.245
87,0.241,0.247
88,0.241,0.248
89,0.243,0.25
90,0.245,0.254
91,0.248,0.257
92,0.251,0.258
93,0.253,0.259
94,0.255,0.26
95,0.256,0.264
96,0.259,0.264
97,0.265,0.265
98,0.267,0.267
99,0.272,0.269
100,0.275,0.275
101,0.276,0.277
102,0.277,0.279
103,0.282,0.282
104,0.285,0.284
105,0.287,0.285
106,0.293,0.287
107,0.296,0.289
108,0.299,0.293
109,0.304,0.297
110,0.306,0.299
111,0.312,0.301
112,0.315,0.303
113,0.318,0.306
114,0.322,0.309
115,0.325,0.311
116,0.331,0.314
117,0.334,0.316
118,0.337,0.317
119,0.338,0.322
120,0.339,0.322
121,0.342,0.327
122,0.343,0.327
123,0.347,0.331
124,0.353,0.333
125,0.354,0.335
126,0.36,0.337
127,0.365,0.341
128,0.369,0.344
129,0.37,0.348
130,0.37,0.35
131,0.372,0.354
