,Norm True,Norm Predicted
0,0.0,-0.062
1,0.003,-0.056
2,0.009,-0.046
3,0.012,-0.036
4,0.016,-0.039
5,0.019,-0.029
6,0.021,-0.021
7,0.025,-0.007
8,0.026,-0.007
9,0.033,-0.003
10,0.04,-0.005
11,0.042,-0.006
12,0.044,-0.005
13,0.046,-0.008
14,0.049,-0.008
15,0.05,-0.012
16,0.053,-0.016
17,0.057,-0.015
18,0.061,-0.014
19,0.065,0.009
20,0.066,0.023
21,0.07,0.029
22,0.073,0.031
23,0.076,0.034
24,0.078,0.016
25,0.082,0.011
26,0.083,0.009
27,0.085,0.002
28,0.088,0.007
29,0.09,0.018
30,0.091,0.057
31,0.095,0.123
32,0.1,0.152
33,0.101,0.17
34,0.105,0.179
35,0.107,0.185
36,0.109,0.19
37,0.11,0.192
38,0.113,0.194
39,0.117,0.196
40,0.118,0.197
41,0.119,0.197
42,0.121,0.197
43,0.124,0.196
44,0.128,0.196
45,0.132,0.196
46,0.137,0.196
47,0.14,0.196
48,0.144,0.196
49,0.147,0.196
50,0.149,0.195
51,0.154,0.195
52,0.157,0.194
53,0.163,0.193
54,0.165,0.192
55,0.167,0.191
56,0.17,0.19
57,0.173,0.19
58,0.177,0.189
59,0.182,0.19
60,0.188,0.191
61,0.189,0.191
62,0.192,0.193
63,0.197,0.194
64,0.198,0.196
65,0.2,0.197
66,0.205,0.198
67,0.206,0.198
68,0.208,0.2
69,0.21,0.201
70,0.212,0.201
71,0.215,0.202
72,0.218,0.203
73,0.222,0.206
74,0.225,0.211
75,0.228,0.212
76,0.234,0.214
77,0.237,0.215
78,0.243,0.215
79,0.248,0.215
80,0.25,0.216
81,0.254,0.217
82,0.256,0.216
83,0.261,0.216
84,0.263,0.215
85,0.268,0.216
86,0.272,0.219
87,0.275,0.225
88,0.279,0.228
89,0.279,0.229
90,0.28,0.23
91,0.282,0.231
92,0.286,0.231
93,0.289,0.231
94,0.292,0.231
95,0.296,0.232
96,0.3,0.233
97,0.303,0.234
98,0.308,0.235
99,0.313,0.236
100,0.315,0.237
101,0.32,0.237
102,0.326,0.238
103,0.331,0.24
104,0.336,0.243
105,0.337,0.249
106,0.341,0.257
107,0.347,0.261
108,0.353,0.267
109,0.354,0.277
110,0.359,0.282
111,0.36,0.287
112,0.369,0.292
113,0.372,0.295
114,0.374,0.299
115,0.376,0.303
116,0.377,0.308
117,0.38,0.312
118,0.385,0.314
119,0.388,0.315
120,0.39,0.316
121,0.392,0.316
122,0.392,0.316
123,0.398,0.316
124,0.399,0.316
125,0.401,0.316
126,0.404,0.316
127,0.406,0.316
128,0.409,0.318
129,0.412,0.323
130,0.415,0.329
131,0.416,0.333
132,0.421,0.336
133,0.422,0.34
134,0.428,0.342
135,0.432,0.345
136,0.439,0.348
137,0.442,0.353
138,0.449,0.358
139,0.451,0.359
140,0.457,0.36
141,0.46,0.362
142,0.461,0.363
143,0.464,0.365
144,0.466,0.367
145,0.47,0.369
146,0.474,0.375
147,0.475,0.379
148,0.478,0.381
149,0.483,0.385
150,0.484,0.389
151,0.486,0.395
152,0.488,0.396
153,0.492,0.4
154,0.496,0.402
155,0.5,0.402
156,0.503,0.403
157,0.506,0.406
158,0.511,0.407
159,0.512,0.416
160,0.515,0.422
161,0.52,0.426
162,0.525,0.429
163,0.528,0.432
164,0.532,0.434
165,0.534,0.435
166,0.538,0.437
167,0.542,0.438
168,0.546,0.439
169,0.548,0.44
170,0.549,0.441
171,0.554,0.442
172,0.557,0.443
173,0.56,0.443
174,0.565,0.444
175,0.567,0.446
176,0.569,0.448
177,0.57,0.45
178,0.573,0.452
179,0.575,0.454
180,0.576,0.456
181,0.582,0.457
182,0.585,0.459
183,0.587,0.462
184,0.588,0.465
185,0.59,0.467
186,0.593,0.469
187,0.597,0.473
188,0.601,0.477
189,0.603,0.48
190,0.605,0.487
191,0.606,0.489
192,0.607,0.493
193,0.61,0.495
194,0.612,0.501
195,0.612,0.503
196,0.612,0.505
197,0.612,0.508
198,0.612,0.51
199,0.612,0.512
200,0.612,0.515
201,0.612,0.516
202,0.613,0.516
203,0.613,0.519
204,0.613,0.519
205,0.614,0.522
206,0.613,0.526
207,0.613,0.53
208,0.612,0.534
209,0.611,0.538
210,0.609,0.544
211,0.608,0.549
212,0.607,0.551
213,0.605,0.554
214,0.604,0.556
215,0.603,0.557
216,0.601,0.558
217,0.598,0.559
218,0.596,0.56
219,0.595,0.56
220,0.594,0.561
221,0.592,0.563
222,0.592,0.563
223,0.591,0.566
224,0.592,0.571
225,0.592,0.573
226,0.592,0.575
227,0.592,0.578
228,0.592,0.583
229,0.593,0.585
230,0.593,0.586
231,0.595,0.588
232,0.596,0.59
233,0.597,0.592
234,0.599,0.595
235,0.602,0.597
236,0.603,0.601
237,0.604,0.604
238,0.604,0.609
239,0.605,0.614
240,0.605,0.62
241,0.605,0.625
242,0.606,0.631
243,0.606,0.637
244,0.605,0.645
245,0.605,0.651
246,0.604,0.656
247,0.603,0.66
248,0.602,0.663
249,0.601,0.667
250,0.6,0.67
251,0.6,0.671
252,0.599,0.675
253,0.599,0.676
254,0.599,0.678
255,0.599,0.68
256,0.599,0.68
257,0.597,0.682
258,0.596,0.683
259,0.596,0.684
260,0.595,0.685
261,0.594,0.685
262,0.594,0.686
263,0.594,0.687
264,0.594,0.687
265,0.594,0.687
266,0.594,0.687
267,0.594,0.687
268,0.594,0.687
269,0.594,0.688
270,0.594,0.688
271,0.593,0.688
272,0.593,0.689
273,0.593,0.689
274,0.593,0.689
275,0.593,0.689
276,0.593,0.689
277,0.593,0.689
278,0.593,0.69
279,0.593,0.69
280,0.593,0.69
281,0.594,0.69
282,0.594,0.691
283,0.595,0.691
284,0.596,0.691
285,0.596,0.692
286,0.597,0.693
287,0.597,0.692
288,0.597,0.693
289,0.598,0.696
290,0.598,0.704
291,0.598,0.734
292,0.599,0.736
293,0.6,0.735
294,0.601,0.736
295,0.603,0.736
296,0.604,0.736
297,0.604,0.736
298,0.605,0.736
299,0.606,0.736
300,0.609,0.736
301,0.611,0.736
302,0.613,0.736
303,0.615,0.736
304,0.617,0.737
305,0.62,0.737
306,0.622,0.737
307,0.622,0.737
308,0.625,0.738
309,0.626,0.739
310,0.627,0.739
311,0.628,0.74
312,0.629,0.741
313,0.629,0.744
314,0.631,0.744
315,0.633,0.747
316,0.633,0.75
317,0.634,0.751
318,0.636,0.753
319,0.638,0.756
320,0.639,0.757
321,0.641,0.759
322,0.643,0.76
323,0.646,0.761
324,0.649,0.763
325,0.651,0.763
326,0.654,0.764
327,0.656,0.765
328,0.657,0.767
329,0.661,0.769
330,0.664,0.771
331,0.669,0.775
332,0.673,0.779
333,0.675,0.781
334,0.677,0.784
335,0.68,0.784
336,0.681,0.784
337,0.683,0.784
338,0.686,0.785
339,0.687,0.787
340,0.691,0.791
341,0.693,0.793
342,0.697,0.795
343,0.703,0.797
344,0.704,0.799
345,0.706,0.801
346,0.708,0.802
347,0.712,0.807
348,0.714,0.81
349,0.716,0.812
350,0.718,0.815
351,0.72,0.819
352,0.722,0.821
353,0.724,0.823
354,0.727,0.825
355,0.729,0.826
356,0.73,0.826
357,0.731,0.826
358,0.735,0.827
359,0.737,0.827
360,0.74,0.828
361,0.741,0.829
362,0.744,0.832
363,0.746,0.833
364,0.75,0.84
365,0.751,0.842
366,0.754,0.846
367,0.757,0.848
368,0.759,0.849
369,0.762,0.85
370,0.765,0.851
371,0.767,0.851
372,0.77,0.851
373,0.774,0.852
374,0.775,0.852
375,0.777,0.852
376,0.779,0.852
377,0.783,0.852
378,0.783,0.852
379,0.786,0.852
380,0.789,0.852
381,0.791,0.853
382,0.792,0.853
383,0.793,0.854
384,0.795,0.855
385,0.798,0.859
386,0.799,0.863
387,0.799,0.868
388,0.8,0.874
389,0.8,0.876
390,0.799,0.879
391,0.8,0.88
392,0.8,0.881
393,0.8,0.881
394,0.8,0.882
395,0.8,0.882
396,0.8,0.882
397,0.8,0.883
398,0.801,0.883
399,0.801,0.884
400,0.801,0.886
401,0.802,0.887
402,0.803,0.889
403,0.803,0.89
404,0.803,0.89
405,0.804,0.891
406,0.805,0.892
407,0.806,0.892
408,0.807,0.892
409,0.807,0.892
410,0.807,0.892
411,0.807,0.893
412,0.808,0.893
413,0.809,0.894
414,0.809,0.895
415,0.811,0.895
416,0.811,0.896
417,0.812,0.897
418,0.814,0.898
419,0.815,0.9
420,0.816,0.904
421,0.818,0.91
422,0.819,0.913
423,0.822,0.916
424,0.825,0.922
425,0.826,0.924
426,0.827,0.926
427,0.829,0.927
428,0.831,0.929
429,0.832,0.929
430,0.835,0.93
431,0.839,0.931
432,0.842,0.931
433,0.848,0.932
434,0.852,0.932
435,0.854,0.933
436,0.856,0.933
437,0.858,0.933
438,0.859,0.933
439,0.86,0.933
440,0.863,0.933
441,0.866,0.933
442,0.869,0.933
443,0.874,0.933
444,0.875,0.933
445,0.878,0.933
446,0.879,0.933
447,0.882,0.933
448,0.884,0.933
449,0.885,0.933
450,0.887,0.933
451,0.888,0.934
452,0.89,0.934
453,0.893,0.934
454,0.896,0.934
455,0.898,0.934
456,0.907,0.934
457,0.91,0.934
458,0.915,0.934
459,0.918,0.935
460,0.921,0.936
461,0.925,0.938
462,0.928,0.94
463,0.931,0.942
464,0.934,0.944
465,0.938,0.944
466,0.939,0.945
467,0.94,0.945
468,0.943,0.945
469,0.947,0.946
470,0.949,0.947
471,0.95,0.948
472,0.953,0.948
473,0.958,0.948
474,0.961,0.948
475,0.964,0.948
476,0.967,0.949
477,0.97,0.949
478,0.975,0.951
479,0.976,0.953
480,0.977,0.953
481,0.981,0.954
482,0.986,0.955
483,0.988,0.955
484,0.992,0.957
485,0.992,0.957
