,Norm True,Norm Predicted
0,0.0,0.019
1,0.005,0.022
2,0.005,0.02
3,0.01,0.027
4,0.015,0.032
5,0.018,0.035
6,0.021,0.041
7,0.024,0.043
8,0.024,0.045
9,0.028,0.045
10,0.034,0.056
11,0.038,0.062
12,0.041,0.07
13,0.044,0.069
14,0.048,0.075
15,0.051,0.074
16,0.053,0.077
17,0.057,0.083
18,0.058,0.083
19,0.063,0.084
20,0.066,0.088
21,0.069,0.092
22,0.07,0.094
23,0.072,0.096
24,0.076,0.098
25,0.081,0.106
26,0.083,0.105
27,0.086,0.11
28,0.088,0.106
29,0.091,0.113
30,0.092,0.117
31,0.095,0.117
32,0.098,0.121
33,0.101,0.123
34,0.107,0.13
35,0.111,0.132
36,0.111,0.134
37,0.113,0.137
38,0.117,0.143
39,0.117,0.139
40,0.126,0.152
41,0.128,0.156
42,0.13,0.158
43,0.131,0.159
44,0.136,0.168
45,0.138,0.168
46,0.139,0.166
47,0.144,0.175
48,0.146,0.182
49,0.147,0.18
50,0.15,0.18
51,0.157,0.188
52,0.158,0.19
53,0.16,0.189
54,0.164,0.191
55,0.172,0.197
56,0.175,0.2
57,0.179,0.204
58,0.184,0.207
59,0.188,0.213
60,0.194,0.218
61,0.194,0.222
62,0.195,0.218
63,0.198,0.225
64,0.202,0.231
65,0.205,0.23
66,0.209,0.233
67,0.21,0.236
68,0.215,0.24
69,0.221,0.241
70,0.224,0.244
71,0.225,0.247
72,0.231,0.252
73,0.234,0.253
74,0.241,0.261
75,0.242,0.261
76,0.245,0.263
77,0.249,0.266
78,0.252,0.272
79,0.252,0.27
80,0.253,0.269
81,0.254,0.27
82,0.257,0.276
83,0.259,0.276
84,0.263,0.277
85,0.267,0.282
86,0.272,0.282
87,0.275,0.285
88,0.277,0.287
89,0.28,0.289
90,0.283,0.293
91,0.287,0.294
92,0.288,0.296
93,0.291,0.299
94,0.296,0.301
95,0.298,0.306
96,0.3,0.306
97,0.302,0.308
98,0.303,0.311
99,0.304,0.314
100,0.308,0.314
101,0.311,0.315
102,0.314,0.318
103,0.317,0.321
104,0.321,0.324
105,0.321,0.327
106,0.323,0.325
107,0.328,0.329
108,0.329,0.327
109,0.331,0.331
110,0.336,0.333
111,0.336,0.335
112,0.337,0.334
113,0.339,0.338
114,0.34,0.337
115,0.34,0.34
116,0.341,0.343
117,0.342,0.346
118,0.343,0.349
119,0.344,0.35
120,0.345,0.352
121,0.346,0.353
122,0.346,0.355
123,0.348,0.36
124,0.349,0.362
125,0.35,0.363
126,0.353,0.369
127,0.357,0.374
128,0.357,0.378
129,0.359,0.381
130,0.36,0.383
131,0.362,0.384
132,0.363,0.387
133,0.364,0.386
134,0.367,0.389
135,0.37,0.394
136,0.37,0.394
137,0.375,0.396
138,0.381,0.401
139,0.384,0.405
140,0.39,0.407
141,0.393,0.411
142,0.394,0.413
143,0.397,0.417
144,0.399,0.418
145,0.402,0.421
146,0.406,0.423
147,0.408,0.425
148,0.409,0.428
149,0.41,0.428
150,0.414,0.43
151,0.415,0.432
152,0.418,0.434
153,0.422,0.436
154,0.425,0.442
155,0.427,0.443
156,0.431,0.449
157,0.434,0.45
158,0.437,0.454
159,0.441,0.455
160,0.445,0.459
161,0.447,0.461
162,0.45,0.463
163,0.452,0.465
164,0.457,0.469
165,0.461,0.47
166,0.465,0.473
167,0.467,0.478
168,0.472,0.479
169,0.477,0.481
170,0.48,0.487
171,0.482,0.489
172,0.484,0.486
173,0.485,0.487
174,0.488,0.49
175,0.49,0.492
176,0.491,0.491
177,0.494,0.492
178,0.495,0.489
179,0.498,0.494
180,0.502,0.492
181,0.508,0.494
182,0.515,0.502
183,0.516,0.5
184,0.517,0.499
185,0.52,0.505
186,0.525,0.503
187,0.526,0.506
188,0.53,0.509
189,0.531,0.51
190,0.535,0.512
191,0.537,0.513
192,0.538,0.514
193,0.544,0.52
194,0.549,0.523
195,0.553,0.523
196,0.555,0.525
197,0.556,0.523
198,0.56,0.524
199,0.561,0.529
