,Sine True,Sine Predicted,Cosine True,Cosine Predicted
212,-0.202,-0.006,0.979,0.012
213,-0.199,-0.006,0.98,0.016
214,-0.194,-0.004,0.981,0.017
215,-0.191,-0.005,0.982,0.016
216,-0.185,-0.012,0.983,0.024
217,-0.183,-0.012,0.983,0.031
218,-0.181,-0.007,0.984,0.024
219,-0.178,-0.012,0.984,0.028
220,-0.177,-0.01,0.984,0.027
221,-0.173,0.0,0.985,0.024
222,-0.173,-0.01,0.985,0.028
223,-0.167,-0.004,0.986,0.021
224,-0.163,-0.0,0.987,0.027
225,-0.158,-0.009,0.987,0.034
226,-0.155,-0.006,0.988,0.022
227,-0.154,-0.013,0.988,0.029
228,-0.151,-0.006,0.988,0.021
229,-0.149,-0.018,0.989,0.014
230,-0.147,-0.014,0.989,0.015
231,-0.142,-0.012,0.99,0.025
232,-0.139,-0.013,0.99,0.013
233,-0.135,-0.004,0.991,0.019
234,-0.132,-0.007,0.991,0.011
235,-0.13,-0.008,0.992,0.013
236,-0.129,0.002,0.992,0.01
237,-0.127,-0.009,0.992,0.01
238,-0.122,-0.004,0.993,0.03
239,-0.118,-0.016,0.993,0.044
240,-0.111,-0.016,0.994,0.04
241,-0.108,-0.009,0.994,0.031
242,-0.108,0.0,0.994,0.013
243,-0.106,-0.001,0.994,0.025
244,-0.105,-0.019,0.995,0.025
245,-0.104,-0.003,0.995,0.004
246,-0.104,-0.003,0.995,0.016
247,-0.104,-0.004,0.995,0.007
248,-0.104,-0.007,0.995,0.01
249,-0.104,0.004,0.995,0.018
250,-0.104,-0.009,0.995,0.004
251,-0.104,-0.004,0.995,0.002
252,-0.104,0.009,0.995,-0.015
253,-0.103,0.004,0.995,0.007
254,-0.102,-0.0,0.995,0.015
255,-0.103,-0.008,0.995,0.027
256,-0.103,-0.01,0.995,0.013
257,-0.103,-0.004,0.995,0.006
258,-0.103,-0.003,0.995,-0.002
259,-0.104,0.001,0.995,0.015
260,-0.104,-0.009,0.995,0.015
