,Norm True,Norm Predicted
0,0.0,0.143
1,0.003,0.148
2,0.006,0.136
3,0.007,0.133
4,0.013,0.132
5,0.014,0.118
6,0.019,0.141
7,0.021,0.111
8,0.025,0.13
9,0.028,0.109
10,0.03,0.119
11,0.033,0.108
12,0.035,0.124
13,0.039,0.118
14,0.044,0.112
15,0.048,0.104
16,0.052,0.102
17,0.054,0.112
18,0.057,0.092
19,0.059,0.083
20,0.06,0.102
21,0.063,0.109
22,0.066,0.117
23,0.072,0.15
24,0.073,0.101
25,0.076,0.158
26,0.081,0.15
27,0.082,0.151
28,0.084,0.146
29,0.086,0.122
30,0.087,0.142
31,0.092,0.157
32,0.097,0.146
33,0.1,0.125
34,0.102,0.106
35,0.105,0.11
36,0.106,0.121
37,0.106,0.12
38,0.109,0.125
39,0.114,0.14
40,0.117,0.121
41,0.119,0.113
42,0.122,0.115
43,0.128,0.107
44,0.129,0.103
45,0.131,0.122
46,0.134,0.126
47,0.138,0.156
48,0.142,0.127
49,0.145,0.124
50,0.146,0.132
51,0.147,0.143
52,0.15,0.145
53,0.155,0.154
54,0.157,0.152
55,0.16,0.169
56,0.164,0.174
57,0.169,0.161
58,0.172,0.178
59,0.173,0.163
60,0.176,0.161
61,0.181,0.163
62,0.182,0.153
63,0.185,0.17
64,0.191,0.19
65,0.195,0.177
66,0.197,0.157
67,0.201,0.17
68,0.204,0.158
69,0.206,0.141
70,0.209,0.149
71,0.211,0.147
72,0.211,0.131
73,0.213,0.176
74,0.218,0.201
75,0.221,0.202
76,0.222,0.205
77,0.223,0.206
78,0.225,0.181
79,0.23,0.214
80,0.231,0.186
81,0.233,0.195
82,0.235,0.191
83,0.24,0.196
84,0.241,0.175
85,0.244,0.192
86,0.247,0.173
87,0.252,0.196
88,0.254,0.203
89,0.255,0.19
90,0.258,0.207
91,0.258,0.197
92,0.26,0.214
93,0.261,0.185
94,0.265,0.199
95,0.27,0.184
96,0.272,0.192
97,0.276,0.162
98,0.278,0.156
99,0.28,0.168
100,0.285,0.191
101,0.29,0.188
102,0.296,0.179
103,0.297,0.188
104,0.301,0.191
105,0.305,0.186
106,0.305,0.176
107,0.307,0.204
108,0.31,0.215
109,0.313,0.205
110,0.316,0.218
111,0.318,0.204
112,0.319,0.196
113,0.322,0.196
114,0.323,0.196
115,0.327,0.216
116,0.328,0.205
117,0.33,0.228
118,0.333,0.223
119,0.335,0.248
120,0.337,0.213
121,0.34,0.229
122,0.342,0.242
123,0.345,0.248
124,0.349,0.238
125,0.353,0.238
126,0.356,0.227
