,Norm True,Norm Predicted
318,0.694,0.851
319,0.696,0.848
320,0.698,0.868
321,0.699,0.855
322,0.701,0.862
323,0.705,0.888
324,0.71,0.885
325,0.714,0.878
326,0.715,0.869
327,0.719,0.868
328,0.721,0.863
329,0.721,0.865
330,0.73,0.873
331,0.735,0.861
332,0.739,0.871
333,0.742,0.866
334,0.744,0.856
335,0.748,0.851
336,0.75,0.851
337,0.751,0.832
338,0.754,0.813
339,0.758,0.837
340,0.76,0.833
341,0.764,0.842
342,0.765,0.841
343,0.772,0.844
344,0.777,0.832
345,0.782,0.84
346,0.784,0.829
347,0.785,0.846
348,0.788,0.862
349,0.793,0.871
350,0.795,0.87
351,0.797,0.866
352,0.798,0.862
353,0.801,0.855
354,0.803,0.863
355,0.806,0.859
356,0.808,0.846
357,0.81,0.87
358,0.812,0.88
359,0.815,0.892
360,0.816,0.864
361,0.819,0.878
362,0.819,0.862
363,0.821,0.877
364,0.823,0.872
365,0.824,0.878
366,0.826,0.878
367,0.828,0.877
368,0.829,0.87
369,0.831,0.852
370,0.832,0.876
371,0.833,0.855
372,0.838,0.888
373,0.841,0.883
374,0.843,0.87
375,0.845,0.888
376,0.847,0.889
377,0.85,0.895
378,0.851,0.9
379,0.853,0.902
380,0.859,0.897
381,0.865,0.895
382,0.867,0.876
383,0.869,0.882
384,0.872,0.873
385,0.873,0.875
386,0.877,0.882
387,0.882,0.886
388,0.885,0.886
389,0.886,0.88
390,0.889,0.874
391,0.894,0.885
392,0.897,0.866
393,0.906,0.881
394,0.91,0.873
395,0.912,0.852
396,0.917,0.862
397,0.918,0.833
398,0.922,0.848
399,0.924,0.845
400,0.926,0.837
401,0.932,0.849
402,0.936,0.851
403,0.939,0.877
404,0.942,0.865
405,0.949,0.864
406,0.954,0.87
407,0.959,0.87
408,0.961,0.859
409,0.962,0.851
410,0.968,0.872
411,0.971,0.887
412,0.973,0.896
413,0.975,0.884
414,0.976,0.889
415,0.979,0.904
416,0.982,0.908
417,0.982,0.91
418,0.982,0.922
419,0.982,0.91
420,0.981,0.915
421,0.98,0.905
422,0.98,0.916
423,0.98,0.914
424,0.979,0.917
425,0.98,0.918
426,0.979,0.911
427,0.978,0.914
428,0.977,0.883
429,0.977,0.9
430,0.976,0.879
431,0.975,0.899
432,0.974,0.882
433,0.974,0.892
434,0.973,0.889
435,0.973,0.895
436,0.973,0.88
437,0.973,0.887
438,0.973,0.892
439,0.972,0.921
440,0.972,0.914
441,0.972,0.916
442,0.971,0.904
443,0.97,0.93
444,0.969,0.942
445,0.968,0.939
446,0.967,0.94
447,0.966,0.923
448,0.965,0.936
449,0.965,0.921
450,0.962,0.941
451,0.959,0.914
452,0.957,0.917
453,0.957,0.914
454,0.955,0.928
455,0.953,0.918
456,0.949,0.934
457,0.949,0.908
458,0.947,0.909
459,0.946,0.898
460,0.944,0.913
461,0.943,0.911
462,0.942,0.919
463,0.941,0.918
464,0.939,0.927
465,0.937,0.92
466,0.937,0.917
467,0.936,0.91
468,0.932,0.909
469,0.929,0.904
470,0.926,0.899
471,0.925,0.886
472,0.923,0.904
473,0.92,0.902
474,0.918,0.918
475,0.916,0.92
476,0.915,0.924
477,0.912,0.935
478,0.91,0.929
479,0.906,0.943
480,0.906,0.907
481,0.902,0.91
482,0.901,0.904
483,0.899,0.899
484,0.895,0.898
485,0.893,0.912
486,0.892,0.908
487,0.889,0.913
