,Norm True,Norm Predicted
0,0.0,0.087
1,0.005,0.079
2,0.009,0.079
3,0.012,0.077
4,0.014,0.079
5,0.015,0.076
6,0.018,0.074
7,0.023,0.08
8,0.026,0.084
9,0.033,0.081
10,0.035,0.093
11,0.036,0.084
12,0.04,0.094
13,0.043,0.096
14,0.046,0.104
15,0.05,0.113
16,0.052,0.11
17,0.054,0.105
18,0.06,0.108
19,0.062,0.111
20,0.064,0.118
21,0.067,0.116
22,0.069,0.118
23,0.073,0.135
24,0.078,0.138
25,0.082,0.143
26,0.083,0.135
27,0.085,0.139
28,0.087,0.136
29,0.09,0.141
30,0.091,0.146
31,0.096,0.142
32,0.099,0.148
33,0.104,0.144
34,0.108,0.15
35,0.115,0.165
36,0.116,0.159
37,0.12,0.169
38,0.121,0.162
39,0.125,0.186
40,0.126,0.189
41,0.128,0.196
42,0.13,0.196
43,0.132,0.198
44,0.136,0.196
45,0.137,0.19
46,0.14,0.2
47,0.141,0.207
48,0.142,0.206
49,0.142,0.194
50,0.144,0.21
51,0.145,0.207
52,0.146,0.205
53,0.148,0.204
54,0.15,0.208
55,0.151,0.218
56,0.152,0.22
57,0.153,0.224
58,0.154,0.235
59,0.155,0.235
60,0.156,0.227
61,0.158,0.227
62,0.159,0.235
63,0.16,0.236
64,0.163,0.232
65,0.165,0.238
66,0.166,0.249
67,0.167,0.237
68,0.174,0.247
69,0.177,0.248
70,0.18,0.261
71,0.182,0.251
72,0.184,0.258
73,0.189,0.262
74,0.192,0.273
75,0.196,0.273
76,0.201,0.281
77,0.203,0.272
78,0.209,0.278
79,0.212,0.274
80,0.215,0.291
81,0.218,0.298
82,0.218,0.296
83,0.221,0.292
84,0.225,0.299
85,0.227,0.297
86,0.229,0.297
87,0.23,0.302
88,0.232,0.301
89,0.236,0.322
90,0.238,0.307
91,0.241,0.313
92,0.245,0.311
93,0.251,0.323
94,0.255,0.319
95,0.259,0.323
96,0.264,0.336
97,0.268,0.341
98,0.271,0.354
99,0.272,0.35
100,0.275,0.356
101,0.277,0.364
102,0.279,0.364
103,0.284,0.373
104,0.287,0.37
105,0.293,0.386
106,0.297,0.387
107,0.298,0.382
108,0.302,0.381
109,0.304,0.393
110,0.305,0.389
111,0.309,0.392
112,0.31,0.395
113,0.312,0.398
114,0.313,0.401
115,0.319,0.408
116,0.321,0.399
117,0.326,0.406
118,0.328,0.407
119,0.329,0.408
120,0.331,0.411
121,0.333,0.412
122,0.335,0.409
123,0.336,0.398
124,0.34,0.409
125,0.344,0.407
126,0.346,0.423
127,0.347,0.423
128,0.349,0.421
129,0.352,0.421
130,0.357,0.426
131,0.358,0.435
132,0.359,0.422
133,0.363,0.432
134,0.364,0.436
135,0.367,0.429
136,0.37,0.445
137,0.371,0.437
138,0.373,0.451
139,0.375,0.462
140,0.378,0.465
141,0.378,0.477
142,0.38,0.476
143,0.381,0.477
144,0.382,0.481
