,Norm True,Norm Predicted
0,0.0,-0.019
1,0.002,-0.018
2,0.01,-0.013
3,0.015,-0.004
4,0.02,0.003
5,0.023,0.008
6,0.026,0.011
7,0.029,0.014
8,0.029,0.011
9,0.031,0.014
10,0.034,0.02
11,0.039,0.025
12,0.04,0.031
13,0.043,0.03
14,0.047,0.032
15,0.048,0.026
16,0.049,0.029
17,0.053,0.033
18,0.059,0.035
19,0.062,0.039
20,0.067,0.044
21,0.069,0.047
22,0.077,0.053
23,0.081,0.055
24,0.083,0.058
25,0.087,0.06
26,0.09,0.063
27,0.097,0.069
28,0.103,0.075
29,0.107,0.084
30,0.109,0.083
31,0.11,0.083
32,0.111,0.084
33,0.114,0.088
34,0.118,0.095
35,0.123,0.1
36,0.126,0.102
37,0.128,0.104
38,0.129,0.104
39,0.132,0.109
40,0.136,0.113
41,0.138,0.113
42,0.139,0.114
43,0.14,0.118
44,0.143,0.122
45,0.146,0.125
46,0.149,0.13
47,0.151,0.134
48,0.154,0.136
49,0.155,0.136
50,0.158,0.138
51,0.159,0.141
52,0.163,0.146
53,0.165,0.152
54,0.166,0.153
55,0.17,0.158
56,0.175,0.167
57,0.18,0.17
58,0.184,0.173
59,0.187,0.173
60,0.188,0.173
61,0.192,0.174
62,0.196,0.182
63,0.198,0.185
64,0.199,0.186
65,0.2,0.189
66,0.205,0.194
67,0.206,0.196
68,0.208,0.199
69,0.213,0.204
70,0.217,0.207
71,0.219,0.205
72,0.227,0.212
73,0.23,0.217
74,0.232,0.216
75,0.235,0.218
76,0.238,0.221
77,0.239,0.225
78,0.241,0.224
79,0.245,0.23
80,0.248,0.237
81,0.254,0.239
82,0.256,0.245
83,0.26,0.252
84,0.263,0.253
85,0.265,0.253
86,0.268,0.259
87,0.269,0.263
88,0.27,0.265
89,0.271,0.262
90,0.272,0.266
91,0.272,0.271
92,0.274,0.272
93,0.277,0.281
94,0.279,0.28
95,0.282,0.281
96,0.283,0.284
97,0.283,0.288
98,0.285,0.29
99,0.286,0.292
100,0.288,0.289
101,0.291,0.293
102,0.293,0.293
103,0.295,0.296
104,0.3,0.304
105,0.301,0.305
106,0.304,0.304
107,0.305,0.306
108,0.306,0.303
109,0.307,0.31
110,0.316,0.317
111,0.32,0.317
112,0.325,0.322
113,0.328,0.324
114,0.33,0.326
115,0.332,0.327
116,0.333,0.329
117,0.339,0.331
118,0.34,0.333
119,0.344,0.336
120,0.345,0.335
121,0.347,0.334
122,0.351,0.342
123,0.352,0.34
124,0.354,0.342
125,0.358,0.352
126,0.36,0.353
127,0.363,0.355
128,0.364,0.359
129,0.367,0.357
130,0.369,0.359
131,0.372,0.364
132,0.375,0.367
133,0.379,0.369
134,0.38,0.368
135,0.383,0.373
136,0.388,0.381
137,0.39,0.383
138,0.393,0.38
139,0.394,0.381
140,0.396,0.386
141,0.4,0.389
142,0.402,0.396
143,0.405,0.394
144,0.408,0.395
145,0.41,0.4
146,0.412,0.405
147,0.415,0.408
148,0.42,0.409
149,0.423,0.41
150,0.424,0.407
151,0.425,0.415
152,0.427,0.413
153,0.429,0.411
154,0.431,0.414
155,0.433,0.416
156,0.434,0.42
157,0.436,0.421
158,0.439,0.426
159,0.441,0.432
160,0.443,0.434
161,0.446,0.432
162,0.448,0.434
163,0.449,0.436
164,0.45,0.44
165,0.452,0.442
166,0.454,0.446
167,0.456,0.447
168,0.458,0.455
169,0.459,0.458
170,0.462,0.463
171,0.462,0.466
172,0.464,0.469
173,0.464,0.47
174,0.465,0.47
175,0.468,0.474
176,0.47,0.478
177,0.471,0.476
178,0.473,0.48
179,0.474,0.485
180,0.475,0.485
181,0.476,0.49
182,0.482,0.491
183,0.484,0.494
184,0.485,0.496
185,0.486,0.497
186,0.488,0.499
187,0.489,0.5
188,0.491,0.5
189,0.495,0.506
190,0.499,0.509
191,0.503,0.51
192,0.506,0.511
193,0.507,0.513
194,0.509,0.513
195,0.509,0.508
196,0.512,0.512
197,0.517,0.515
198,0.52,0.515
199,0.522,0.519
