,Norm True,Norm Predicted
0,0.0,0.071
1,0.004,0.078
2,0.007,0.077
3,0.012,0.078
4,0.015,0.081
5,0.018,0.083
6,0.022,0.074
7,0.023,0.086
8,0.028,0.099
9,0.033,0.097
10,0.037,0.089
11,0.038,0.072
12,0.04,0.091
13,0.042,0.098
14,0.047,0.099
15,0.051,0.104
16,0.054,0.125
17,0.056,0.117
18,0.063,0.111
19,0.066,0.116
20,0.068,0.114
21,0.07,0.099
22,0.071,0.099
23,0.074,0.1
24,0.075,0.103
25,0.078,0.086
26,0.08,0.093
27,0.083,0.112
28,0.087,0.118
29,0.091,0.117
30,0.094,0.124
31,0.098,0.117
32,0.102,0.131
33,0.105,0.123
34,0.106,0.115
35,0.109,0.121
36,0.113,0.144
37,0.117,0.138
38,0.122,0.143
39,0.125,0.146
40,0.127,0.149
41,0.13,0.166
42,0.131,0.164
43,0.135,0.134
44,0.136,0.16
45,0.139,0.184
46,0.14,0.16
47,0.143,0.16
48,0.147,0.154
49,0.15,0.167
50,0.152,0.164
51,0.154,0.166
52,0.156,0.161
53,0.161,0.142
54,0.167,0.157
55,0.172,0.174
56,0.173,0.168
57,0.178,0.169
58,0.18,0.161
59,0.185,0.199
60,0.187,0.18
61,0.193,0.198
62,0.197,0.196
63,0.203,0.199
64,0.204,0.228
65,0.212,0.206
66,0.217,0.177
67,0.221,0.198
68,0.224,0.203
69,0.228,0.203
70,0.228,0.208
71,0.229,0.183
72,0.235,0.213
73,0.238,0.209
74,0.239,0.211
75,0.243,0.229
76,0.247,0.229
77,0.248,0.237
78,0.255,0.221
79,0.257,0.197
80,0.263,0.215
81,0.264,0.23
82,0.268,0.217
83,0.271,0.223
84,0.276,0.215
85,0.28,0.212
86,0.282,0.244
87,0.285,0.24
88,0.287,0.229
89,0.291,0.229
90,0.291,0.253
91,0.297,0.236
92,0.3,0.23
93,0.307,0.248
94,0.309,0.25
95,0.312,0.252
96,0.315,0.257
97,0.316,0.268
98,0.323,0.271
99,0.325,0.275
100,0.328,0.279
101,0.333,0.28
102,0.336,0.261
103,0.338,0.287
104,0.342,0.295
105,0.344,0.282
106,0.345,0.295
107,0.349,0.295
108,0.351,0.297
109,0.355,0.295
110,0.358,0.303
111,0.363,0.305
112,0.368,0.315
113,0.369,0.319
114,0.371,0.325
115,0.375,0.35
116,0.376,0.347
117,0.378,0.347
118,0.378,0.356
119,0.38,0.35
120,0.38,0.341
121,0.383,0.347
122,0.386,0.361
123,0.389,0.363
124,0.39,0.355
125,0.392,0.346
126,0.395,0.361
127,0.4,0.354
128,0.401,0.361
129,0.405,0.374
130,0.406,0.388
131,0.409,0.407
132,0.409,0.409
133,0.412,0.409
134,0.414,0.411
135,0.416,0.426
136,0.418,0.415
137,0.419,0.428
138,0.421,0.428
139,0.424,0.423
140,0.425,0.42
141,0.427,0.448
142,0.428,0.458
143,0.428,0.45
144,0.429,0.449
145,0.429,0.45
146,0.43,0.459
147,0.43,0.462
148,0.43,0.462
149,0.43,0.467
150,0.431,0.469
151,0.431,0.474
152,0.432,0.472
153,0.432,0.468
154,0.433,0.462
155,0.434,0.472
156,0.437,0.488
157,0.44,0.488
158,0.442,0.48
159,0.442,0.488
160,0.443,0.493
161,0.445,0.482
162,0.447,0.481
163,0.449,0.496
164,0.452,0.509
165,0.453,0.511
166,0.454,0.519
167,0.455,0.512
168,0.455,0.5
169,0.455,0.522
170,0.456,0.523
171,0.456,0.516
172,0.457,0.526
173,0.458,0.531
174,0.458,0.528
175,0.46,0.534
176,0.46,0.525
177,0.461,0.542
178,0.461,0.542
179,0.461,0.537
180,0.462,0.539
181,0.462,0.536
182,0.462,0.54
183,0.462,0.556
184,0.462,0.563
185,0.462,0.558
186,0.463,0.574
187,0.463,0.573
188,0.464,0.572
189,0.466,0.593
190,0.466,0.578
191,0.467,0.589
192,0.468,0.58
193,0.47,0.584
194,0.471,0.601
195,0.473,0.605
196,0.476,0.62
197,0.478,0.614
198,0.48,0.631
199,0.483,0.624
200,0.484,0.628
201,0.485,0.636
202,0.488,0.64
203,0.492,0.642
204,0.493,0.631
205,0.496,0.639
206,0.501,0.628
207,0.505,0.632
208,0.509,0.648
209,0.515,0.631
210,0.516,0.642
211,0.518,0.641
212,0.52,0.645
213,0.521,0.644
214,0.523,0.653
215,0.525,0.657
216,0.527,0.649
217,0.53,0.64
218,0.532,0.638
219,0.536,0.653
220,0.537,0.643
221,0.537,0.659
222,0.539,0.65
223,0.539,0.643
224,0.542,0.658
225,0.544,0.668
226,0.545,0.668
227,0.548,0.637
228,0.553,0.659
229,0.554,0.672
230,0.559,0.66
231,0.56,0.664
232,0.562,0.664
233,0.563,0.678
234,0.564,0.679
235,0.566,0.674
236,0.567,0.676
237,0.569,0.68
238,0.572,0.689
239,0.574,0.681
240,0.576,0.694
241,0.58,0.684
242,0.583,0.686
243,0.585,0.685
244,0.588,0.689
245,0.592,0.696
246,0.595,0.711
247,0.597,0.703
248,0.599,0.702
249,0.6,0.706
250,0.602,0.722
251,0.603,0.705
252,0.605,0.7
253,0.605,0.713
254,0.606,0.707
255,0.607,0.719
256,0.608,0.723
257,0.611,0.715
258,0.612,0.728
259,0.613,0.728
260,0.615,0.734
261,0.617,0.718
262,0.618,0.72
263,0.619,0.724
264,0.623,0.745
265,0.624,0.733
266,0.626,0.748
267,0.63,0.745
268,0.632,0.745
269,0.633,0.74
270,0.635,0.738
271,0.636,0.728
272,0.637,0.74
273,0.637,0.736
274,0.637,0.757
275,0.636,0.745
276,0.635,0.744
277,0.634,0.758
278,0.63,0.762
279,0.627,0.745
280,0.624,0.763
281,0.621,0.762
282,0.618,0.754
283,0.615,0.753
284,0.611,0.762
285,0.61,0.777
286,0.607,0.773
287,0.604,0.768
288,0.603,0.787
289,0.601,0.786
290,0.6,0.79
291,0.599,0.803
292,0.596,0.798
293,0.593,0.801
294,0.591,0.81
295,0.59,0.811
296,0.588,0.807
297,0.586,0.807
298,0.584,0.817
299,0.583,0.817
300,0.581,0.816
301,0.578,0.827
302,0.577,0.808
303,0.572,0.793
304,0.569,0.801
305,0.566,0.811
306,0.565,0.795
307,0.56,0.791
308,0.554,0.815
309,0.553,0.809
310,0.553,0.823
311,0.55,0.815
312,0.547,0.812
313,0.544,0.785
314,0.542,0.798
315,0.54,0.807
316,0.538,0.815
317,0.538,0.809
318,0.538,0.81
319,0.538,0.822
320,0.538,0.815
321,0.537,0.825
322,0.535,0.82
323,0.535,0.799
324,0.531,0.801
325,0.528,0.811
326,0.525,0.813
327,0.522,0.822
328,0.521,0.825
329,0.52,0.81
330,0.517,0.82
331,0.516,0.825
332,0.514,0.831
333,0.514,0.814
334,0.514,0.811
335,0.513,0.814
336,0.513,0.812
337,0.512,0.799
338,0.511,0.826
339,0.511,0.823
340,0.51,0.816
341,0.51,0.814
342,0.51,0.829
343,0.51,0.823
344,0.51,0.815
345,0.51,0.816
346,0.51,0.818
347,0.51,0.819
348,0.508,0.818
349,0.507,0.816
350,0.506,0.814
351,0.505,0.81
352,0.504,0.811
353,0.503,0.79
354,0.503,0.8
355,0.503,0.799
