,Sine True,Sine Predicted,Cosine True,Cosine Predicted,Norm True,Norm Predicted
0,0.0,-0.131,-1.0,-0.322,0.0,0.624
1,0.682,-0.123,-0.731,-0.302,0.001,0.615
2,0.612,-0.108,-0.791,-0.275,0.006,0.568
3,0.605,-0.095,-0.796,-0.237,0.007,0.527
4,0.574,-0.069,-0.819,-0.194,0.008,0.482
5,0.545,-0.041,-0.839,-0.151,0.013,0.423
6,0.501,-0.036,-0.866,-0.103,0.017,0.361
7,0.508,-0.024,-0.861,-0.085,0.019,0.341
8,0.513,-0.025,-0.858,-0.067,0.023,0.297
9,0.524,-0.005,-0.852,-0.037,0.025,0.254
10,0.533,-0.009,-0.846,-0.035,0.027,0.232
11,0.572,-0.009,-0.82,-0.013,0.033,0.202
12,0.598,0.012,-0.802,0.022,0.036,0.195
13,0.615,0.014,-0.788,0.017,0.041,0.173
14,0.624,-0.001,-0.782,0.009,0.045,0.163
15,0.629,-0.01,-0.778,0.022,0.048,0.16
16,0.63,0.001,-0.777,0.025,0.049,0.173
17,0.64,-0.002,-0.769,0.027,0.052,0.196
18,0.651,-0.009,-0.759,0.02,0.056,0.181
19,0.652,-0.012,-0.758,0.004,0.057,0.209
20,0.662,0.012,-0.75,0.011,0.058,0.212
21,0.674,0.006,-0.739,-0.003,0.061,0.204
22,0.68,0.008,-0.733,-0.006,0.064,0.186
23,0.685,-0.012,-0.728,-0.005,0.068,0.198
24,0.687,0.003,-0.726,-0.007,0.072,0.182
25,0.685,-0.014,-0.728,-0.008,0.075,0.165
26,0.678,-0.019,-0.735,0.002,0.078,0.219
27,0.671,-0.01,-0.741,-0.001,0.08,0.244
28,0.67,-0.017,-0.742,-0.01,0.08,0.241
29,0.667,-0.03,-0.745,-0.02,0.082,0.281
30,0.666,-0.017,-0.746,-0.011,0.083,0.289
31,0.663,-0.01,-0.749,-0.006,0.088,0.284
32,0.663,-0.002,-0.749,-0.005,0.094,0.274
33,0.662,-0.009,-0.75,-0.003,0.097,0.232
