,Norm True,Norm Predicted
0,0.0,0.066
1,0.002,0.058
2,0.003,0.064
3,0.006,0.066
4,0.009,0.061
5,0.014,0.072
6,0.015,0.078
7,0.019,0.079
8,0.024,0.087
9,0.028,0.092
10,0.033,0.104
11,0.036,0.105
12,0.041,0.111
13,0.043,0.122
14,0.046,0.104
15,0.049,0.124
16,0.053,0.13
17,0.056,0.139
18,0.06,0.142
19,0.064,0.148
20,0.065,0.14
21,0.068,0.107
22,0.072,0.121
23,0.076,0.129
24,0.079,0.112
25,0.08,0.136
26,0.087,0.132
27,0.089,0.124
28,0.093,0.137
29,0.094,0.131
30,0.096,0.132
31,0.098,0.144
32,0.099,0.144
33,0.102,0.15
34,0.103,0.145
35,0.106,0.153
36,0.109,0.163
37,0.112,0.137
38,0.116,0.149
39,0.119,0.174
40,0.121,0.183
41,0.121,0.166
42,0.125,0.158
43,0.13,0.176
44,0.131,0.166
45,0.133,0.173
46,0.137,0.184
47,0.141,0.184
48,0.143,0.183
49,0.149,0.196
50,0.153,0.207
51,0.154,0.191
52,0.157,0.19
53,0.16,0.174
54,0.164,0.178
55,0.168,0.159
56,0.174,0.179
57,0.179,0.214
58,0.18,0.196
59,0.184,0.188
60,0.187,0.21
61,0.191,0.212
62,0.197,0.2
63,0.198,0.204
64,0.202,0.225
65,0.207,0.201
66,0.208,0.205
67,0.211,0.23
68,0.211,0.218
69,0.213,0.22
70,0.215,0.23
71,0.219,0.224
72,0.22,0.221
73,0.221,0.233
74,0.225,0.226
75,0.227,0.222
76,0.229,0.253
77,0.23,0.236
78,0.235,0.229
79,0.235,0.234
80,0.239,0.223
81,0.24,0.229
82,0.242,0.239
83,0.243,0.258
84,0.246,0.254
85,0.247,0.26
86,0.248,0.269
87,0.249,0.269
88,0.251,0.259
89,0.253,0.266
90,0.254,0.271
91,0.256,0.267
92,0.257,0.266
93,0.26,0.263
94,0.264,0.28
95,0.266,0.289
96,0.267,0.277
97,0.268,0.269
98,0.269,0.26
99,0.269,0.276
100,0.27,0.277
101,0.271,0.284
102,0.272,0.28
103,0.272,0.282
104,0.273,0.289
105,0.274,0.305
106,0.276,0.293
107,0.279,0.315
108,0.28,0.318
109,0.28,0.317
110,0.282,0.323
111,0.285,0.335
112,0.287,0.331
113,0.29,0.334
114,0.291,0.332
115,0.294,0.346
116,0.297,0.36
117,0.297,0.366
118,0.299,0.348
119,0.302,0.365
120,0.302,0.374
121,0.305,0.369
122,0.306,0.371
123,0.312,0.385
124,0.315,0.39
125,0.318,0.408
126,0.321,0.413
127,0.326,0.399
128,0.327,0.407
129,0.33,0.422
130,0.334,0.425
131,0.337,0.425
