,Norm True,Norm Predicted
0,0.0,-0.028
1,0.004,-0.028
2,0.007,-0.027
3,0.011,-0.025
4,0.013,-0.021
5,0.018,-0.011
6,0.022,-0.008
7,0.026,-0.002
8,0.031,0.004
9,0.032,0.007
10,0.032,0.009
11,0.036,0.02
12,0.042,0.028
13,0.045,0.032
14,0.049,0.039
15,0.051,0.045
16,0.057,0.052
17,0.061,0.062
18,0.066,0.068
19,0.069,0.074
20,0.073,0.076
21,0.074,0.077
22,0.076,0.079
23,0.079,0.082
24,0.081,0.083
25,0.083,0.083
26,0.088,0.087
27,0.092,0.088
28,0.095,0.097
29,0.099,0.095
30,0.1,0.1
31,0.102,0.106
32,0.104,0.101
33,0.106,0.102
34,0.107,0.109
35,0.111,0.107
36,0.112,0.114
37,0.116,0.112
38,0.12,0.113
39,0.125,0.116
40,0.127,0.125
41,0.13,0.129
42,0.131,0.128
43,0.137,0.133
44,0.141,0.14
45,0.142,0.144
46,0.145,0.141
47,0.15,0.144
48,0.159,0.147
49,0.161,0.154
50,0.163,0.153
51,0.166,0.158
52,0.169,0.166
53,0.171,0.165
54,0.174,0.173
55,0.176,0.175
56,0.179,0.172
57,0.181,0.181
58,0.184,0.187
59,0.189,0.192
60,0.194,0.192
61,0.196,0.201
62,0.201,0.206
63,0.204,0.212
64,0.208,0.216
65,0.21,0.221
66,0.213,0.225
67,0.214,0.228
68,0.216,0.23
69,0.219,0.235
70,0.224,0.238
71,0.228,0.241
72,0.23,0.248
73,0.234,0.252
74,0.237,0.249
75,0.238,0.255
76,0.241,0.254
77,0.248,0.262
78,0.25,0.265
79,0.253,0.267
80,0.255,0.268
81,0.259,0.268
82,0.261,0.276
83,0.264,0.28
84,0.267,0.283
85,0.271,0.287
86,0.274,0.287
87,0.276,0.29
88,0.277,0.293
89,0.282,0.292
90,0.286,0.3
91,0.289,0.298
92,0.291,0.303
93,0.293,0.302
94,0.298,0.308
95,0.301,0.312
96,0.306,0.318
97,0.308,0.321
98,0.313,0.321
99,0.313,0.322
100,0.316,0.323
101,0.32,0.327
102,0.322,0.326
103,0.324,0.327
104,0.326,0.329
105,0.33,0.337
106,0.333,0.344
107,0.335,0.346
108,0.336,0.349
109,0.338,0.352
110,0.342,0.353
111,0.345,0.354
112,0.349,0.358
113,0.35,0.362
114,0.351,0.362
115,0.351,0.366
116,0.352,0.366
117,0.352,0.369
118,0.353,0.372
119,0.353,0.375
120,0.354,0.377
121,0.356,0.379
122,0.358,0.384
123,0.358,0.388
124,0.36,0.39
125,0.361,0.392
126,0.361,0.392
127,0.363,0.394
128,0.363,0.397
129,0.364,0.398
130,0.366,0.401
131,0.367,0.401
132,0.368,0.405
133,0.371,0.409
134,0.372,0.407
135,0.373,0.406
136,0.374,0.409
137,0.375,0.41
138,0.375,0.409
139,0.375,0.409
140,0.376,0.415
141,0.378,0.417
142,0.378,0.417
143,0.378,0.421
144,0.378,0.423
145,0.38,0.427
146,0.383,0.434
147,0.387,0.437
148,0.387,0.439
149,0.39,0.44
150,0.39,0.445
151,0.391,0.444
152,0.391,0.441
153,0.392,0.446
154,0.393,0.449
155,0.395,0.451
156,0.396,0.449
157,0.397,0.45
158,0.397,0.453
159,0.399,0.455
160,0.4,0.456
161,0.401,0.458
162,0.402,0.46
163,0.405,0.461
164,0.407,0.464
165,0.41,0.464
166,0.413,0.47
167,0.415,0.473
168,0.417,0.477
169,0.42,0.477
170,0.422,0.479
171,0.423,0.483
172,0.424,0.486
173,0.426,0.487
174,0.428,0.492
175,0.43,0.493
176,0.432,0.493
177,0.433,0.495
178,0.434,0.497
179,0.438,0.502
180,0.439,0.505
181,0.443,0.509
182,0.444,0.512
183,0.445,0.514
184,0.447,0.516
185,0.449,0.517
186,0.452,0.52
187,0.453,0.522
188,0.455,0.52
189,0.456,0.523
190,0.457,0.521
191,0.458,0.521
192,0.462,0.525
193,0.465,0.526
194,0.47,0.525
195,0.472,0.531
196,0.476,0.533
197,0.481,0.539
198,0.483,0.541
199,0.486,0.54
200,0.488,0.541
201,0.491,0.548
202,0.494,0.55
203,0.495,0.55
204,0.498,0.551
205,0.499,0.55
206,0.5,0.552
207,0.503,0.556
208,0.503,0.557
209,0.505,0.557
210,0.507,0.557
211,0.511,0.559
212,0.511,0.559
213,0.514,0.563
214,0.516,0.564
215,0.519,0.566
216,0.523,0.567
217,0.526,0.572
218,0.528,0.57
219,0.537,0.577
220,0.538,0.575
221,0.54,0.581
222,0.545,0.582
223,0.549,0.586
224,0.551,0.583
225,0.555,0.59
226,0.558,0.587
227,0.559,0.587
228,0.564,0.59
229,0.565,0.589
230,0.57,0.59
231,0.574,0.593
232,0.577,0.604
233,0.58,0.605
234,0.584,0.607
235,0.587,0.61
236,0.589,0.611
237,0.594,0.616
238,0.595,0.618
239,0.598,0.619
240,0.599,0.622
241,0.603,0.626
242,0.609,0.628
243,0.611,0.629
244,0.612,0.63
245,0.619,0.636
246,0.624,0.64
247,0.624,0.643
248,0.627,0.646
249,0.63,0.646
250,0.635,0.648
251,0.644,0.652
252,0.644,0.654
253,0.649,0.665
254,0.652,0.669
255,0.655,0.673
256,0.658,0.675
257,0.659,0.675
258,0.66,0.676
259,0.662,0.679
260,0.666,0.682
261,0.67,0.685
262,0.672,0.689
