,Sine True,Sine Predicted,Cosine True,Cosine Predicted,Norm True,Norm Predicted
112,-0.249,0.011,0.969,-0.009,0.316,0.485
113,-0.245,0.004,0.97,-0.011,0.317,0.454
114,-0.244,0.002,0.97,-0.016,0.318,0.505
115,-0.239,-0.005,0.971,0.003,0.32,0.491
116,-0.237,-0.017,0.972,0.005,0.321,0.484
117,-0.234,-0.009,0.972,-0.006,0.322,0.516
118,-0.229,-0.01,0.974,-0.003,0.324,0.529
119,-0.226,-0.006,0.974,-0.005,0.325,0.5
120,-0.218,-0.014,0.976,0.007,0.327,0.461
121,-0.216,-0.011,0.976,0.0,0.328,0.494
122,-0.211,-0.011,0.977,0.005,0.329,0.499
123,-0.207,-0.021,0.978,0.006,0.33,0.505
124,-0.203,-0.002,0.979,-0.018,0.331,0.493
125,-0.19,0.004,0.982,-0.017,0.333,0.524
126,-0.177,-0.002,0.984,-0.012,0.335,0.489
127,-0.168,0.002,0.986,-0.012,0.336,0.484
128,-0.164,0.01,0.987,-0.012,0.336,0.491
129,-0.153,0.009,0.988,-0.009,0.336,0.504
130,-0.148,-0.007,0.989,-0.005,0.337,0.515
131,-0.135,0.005,0.991,-0.013,0.337,0.455
132,-0.122,0.008,0.993,-0.017,0.338,0.472
133,-0.113,0.025,0.994,-0.039,0.339,0.548
134,-0.092,0.022,0.996,-0.021,0.341,0.463
135,-0.088,0.012,0.996,-0.018,0.341,0.466
136,-0.079,0.019,0.997,-0.02,0.342,0.51
137,-0.068,0.029,0.998,-0.019,0.342,0.541
138,-0.046,0.026,0.999,-0.029,0.344,0.505
139,-0.041,0.017,0.999,-0.021,0.344,0.477
140,-0.029,0.038,1.0,-0.04,0.345,0.462
141,-0.012,0.028,1.0,-0.021,0.345,0.467
142,-0.007,0.017,1.0,-0.028,0.346,0.527
143,0.014,0.036,1.0,-0.014,0.348,0.471
144,0.019,0.023,1.0,-0.021,0.349,0.488
145,0.025,0.039,1.0,-0.038,0.35,0.531
146,0.044,0.03,0.999,-0.027,0.352,0.483
147,0.05,0.017,0.999,-0.018,0.353,0.488
148,0.056,0.009,0.998,-0.017,0.354,0.477
149,0.061,0.019,0.998,-0.015,0.355,0.453
150,0.063,0.019,0.998,-0.021,0.356,0.478
151,0.074,0.032,0.997,-0.036,0.357,0.529
152,0.092,0.031,0.996,-0.028,0.361,0.526
153,0.102,0.024,0.995,-0.019,0.364,0.511
154,0.108,0.025,0.994,-0.02,0.365,0.46
155,0.109,0.022,0.994,-0.024,0.366,0.507
156,0.122,0.031,0.993,-0.033,0.369,0.493
157,0.132,0.019,0.991,-0.014,0.371,0.477
158,0.133,-0.008,0.991,-0.007,0.371,0.464
159,0.137,0.021,0.991,-0.021,0.372,0.463
160,0.144,0.012,0.99,-0.008,0.374,0.491
161,0.149,0.005,0.989,-0.014,0.375,0.528
162,0.155,0.003,0.988,-0.008,0.377,0.483
163,0.165,-0.003,0.986,0.002,0.378,0.475
164,0.168,0.007,0.986,-0.021,0.379,0.507
165,0.175,0.007,0.985,-0.008,0.38,0.458
166,0.184,0.004,0.983,-0.008,0.381,0.519
167,0.191,0.004,0.982,-0.015,0.382,0.525
168,0.196,-0.007,0.981,-0.008,0.383,0.499
169,0.199,0.001,0.98,-0.003,0.383,0.49
170,0.207,0.008,0.978,-0.013,0.384,0.473
171,0.219,0.015,0.976,-0.017,0.386,0.486
172,0.225,-0.011,0.974,0.001,0.388,0.498
173,0.229,0.0,0.974,-0.005,0.389,0.492
174,0.234,0.021,0.972,-0.026,0.39,0.472
175,0.244,0.006,0.97,-0.005,0.392,0.517
176,0.249,0.01,0.969,-0.022,0.394,0.515
177,0.259,0.006,0.966,-0.007,0.396,0.445
178,0.265,0.004,0.964,-0.009,0.397,0.513
179,0.269,0.011,0.963,-0.017,0.397,0.512
180,0.274,0.006,0.962,-0.004,0.398,0.452
181,0.278,-0.003,0.961,-0.004,0.399,0.484
182,0.282,0.002,0.959,-0.011,0.399,0.516
183,0.294,0.005,0.956,-0.005,0.401,0.465
184,0.299,0.004,0.954,-0.012,0.402,0.519
185,0.306,-0.004,0.952,-0.008,0.403,0.507
186,0.309,0.003,0.951,-0.009,0.403,0.508
187,0.315,0.005,0.949,-0.005,0.405,0.477
188,0.325,-0.002,0.946,-0.001,0.409,0.483
189,0.326,-0.004,0.945,-0.008,0.409,0.513
190,0.331,0.01,0.943,-0.017,0.413,0.472
191,0.334,0.037,0.942,-0.044,0.415,0.513
192,0.345,0.02,0.939,-0.02,0.424,0.47
193,0.346,0.015,0.938,-0.024,0.425,0.494
194,0.348,0.032,0.937,-0.025,0.429,0.471
195,0.349,0.018,0.937,-0.011,0.434,0.502
196,0.349,0.018,0.937,-0.026,0.436,0.523
197,0.349,0.003,0.937,-0.008,0.439,0.46
198,0.348,-0.003,0.937,-0.006,0.441,0.476
199,0.347,0.014,0.938,-0.017,0.443,0.472
200,0.346,0.009,0.938,-0.016,0.446,0.477
201,0.346,0.014,0.938,-0.01,0.449,0.5
202,0.347,0.015,0.938,-0.021,0.453,0.542
203,0.349,0.029,0.937,-0.015,0.46,0.494
204,0.35,0.003,0.937,-0.005,0.462,0.51
205,0.35,0.005,0.937,-0.004,0.463,0.47
206,0.351,-0.001,0.936,-0.001,0.465,0.453
207,0.353,-0.002,0.936,-0.008,0.467,0.523
208,0.356,0.012,0.935,-0.02,0.47,0.472
209,0.358,-0.004,0.934,0.001,0.472,0.488
210,0.361,0.006,0.933,-0.009,0.474,0.491
211,0.362,0.015,0.932,-0.014,0.475,0.498
212,0.366,0.004,0.931,0.0,0.479,0.527
213,0.367,0.001,0.93,-0.017,0.481,0.503
214,0.37,0.014,0.929,-0.017,0.485,0.463
215,0.373,0.008,0.928,-0.015,0.489,0.502
216,0.377,0.006,0.926,-0.01,0.492,0.507
217,0.379,0.012,0.926,-0.013,0.493,0.482
218,0.383,0.022,0.924,-0.025,0.497,0.494
219,0.386,0.01,0.922,-0.015,0.5,0.493
220,0.39,0.021,0.921,-0.031,0.502,0.503
221,0.396,0.027,0.918,-0.024,0.506,0.502
222,0.402,0.018,0.916,-0.027,0.509,0.485
223,0.403,0.021,0.915,-0.026,0.51,0.493
224,0.413,0.024,0.911,-0.012,0.515,0.443
225,0.414,0.01,0.91,-0.018,0.516,0.499
226,0.416,0.014,0.909,-0.02,0.516,0.517
227,0.42,0.029,0.908,-0.03,0.518,0.487
228,0.426,0.024,0.905,-0.016,0.522,0.502
229,0.431,0.012,0.902,-0.013,0.525,0.488
230,0.434,0.03,0.901,-0.025,0.528,0.5
231,0.437,0.012,0.9,-0.008,0.531,0.506
232,0.437,0.016,0.899,-0.022,0.532,0.477
233,0.439,0.002,0.898,-0.008,0.534,0.449
234,0.441,-0.006,0.898,-0.003,0.535,0.51
235,0.443,0.019,0.897,-0.026,0.539,0.509
236,0.444,0.01,0.896,-0.023,0.542,0.513
237,0.445,0.025,0.895,-0.032,0.545,0.507
238,0.448,0.03,0.894,-0.018,0.551,0.441
239,0.451,0.02,0.892,-0.018,0.556,0.52
240,0.454,0.017,0.891,-0.024,0.559,0.492
241,0.456,0.002,0.89,-0.013,0.561,0.466
242,0.456,0.02,0.89,-0.025,0.561,0.508
243,0.461,0.02,0.887,-0.025,0.566,0.504
244,0.465,0.011,0.885,-0.013,0.569,0.45
245,0.467,0.024,0.884,-0.024,0.57,0.501
246,0.472,0.027,0.882,-0.034,0.574,0.493
247,0.475,0.017,0.88,-0.015,0.576,0.495
248,0.478,0.005,0.878,0.001,0.577,0.475
249,0.479,0.001,0.878,-0.014,0.578,0.476
250,0.483,0.006,0.876,-0.007,0.58,0.511
251,0.485,0.014,0.874,-0.024,0.581,0.52
252,0.489,0.019,0.872,-0.028,0.582,0.497
253,0.498,0.014,0.867,-0.013,0.587,0.462
254,0.5,0.011,0.866,-0.009,0.588,0.509
255,0.501,0.006,0.865,-0.006,0.588,0.525
256,0.505,-0.01,0.863,0.009,0.59,0.455
257,0.507,0.009,0.862,-0.023,0.591,0.511
258,0.516,0.011,0.856,-0.021,0.594,0.467
259,0.521,0.01,0.854,-0.026,0.595,0.509
260,0.525,0.012,0.851,-0.012,0.598,0.477
261,0.528,0.024,0.849,-0.024,0.599,0.467
262,0.532,0.022,0.847,-0.019,0.601,0.525
263,0.538,0.01,0.843,-0.016,0.604,0.505
264,0.541,0.005,0.841,-0.019,0.606,0.492
265,0.544,0.011,0.839,-0.014,0.608,0.458
266,0.546,0.028,0.838,-0.032,0.609,0.498
267,0.554,0.014,0.832,-0.001,0.613,0.449
268,0.555,-0.01,0.832,-0.0,0.613,0.51
269,0.556,0.027,0.831,-0.026,0.613,0.539
270,0.563,0.017,0.827,-0.014,0.614,0.485
271,0.567,0.012,0.824,-0.011,0.615,0.489
272,0.57,0.007,0.822,-0.014,0.616,0.519
273,0.575,0.014,0.818,-0.015,0.618,0.458
274,0.578,0.008,0.816,-0.019,0.62,0.505
275,0.581,0.017,0.814,-0.023,0.621,0.508
276,0.588,0.022,0.809,-0.014,0.623,0.478
277,0.592,0.014,0.806,-0.022,0.624,0.5
278,0.6,0.042,0.8,-0.04,0.627,0.512
279,0.607,0.033,0.795,-0.035,0.629,0.516
280,0.61,0.031,0.793,-0.039,0.63,0.483
281,0.616,0.03,0.788,-0.025,0.632,0.399
282,0.617,0.024,0.787,-0.029,0.632,0.508
283,0.624,0.03,0.781,-0.022,0.634,0.494
284,0.626,0.031,0.78,-0.031,0.634,0.497
285,0.632,0.017,0.775,-0.013,0.636,0.471
286,0.632,0.032,0.775,-0.032,0.637,0.517
287,0.639,0.022,0.769,-0.008,0.638,0.454
288,0.64,0.004,0.768,-0.012,0.639,0.499
289,0.642,0.012,0.767,-0.014,0.639,0.501
290,0.644,0.0,0.765,-0.007,0.64,0.468
291,0.646,0.014,0.763,-0.024,0.64,0.523
292,0.652,0.013,0.758,-0.008,0.642,0.482
293,0.653,-0.003,0.757,-0.013,0.642,0.526
294,0.656,0.016,0.754,-0.012,0.643,0.504
295,0.661,0.014,0.751,-0.021,0.643,0.483
296,0.667,0.017,0.745,-0.018,0.646,0.495
297,0.671,0.002,0.742,-0.01,0.646,0.503
298,0.673,0.03,0.74,-0.039,0.647,0.51
299,0.679,0.031,0.734,-0.028,0.649,0.458
300,0.683,0.018,0.73,-0.014,0.649,0.493
301,0.686,0.032,0.727,-0.033,0.65,0.506
302,0.693,0.012,0.721,-0.013,0.652,0.438
303,0.696,0.029,0.718,-0.029,0.653,0.514
304,0.699,0.024,0.715,-0.029,0.653,0.511
305,0.704,0.032,0.71,-0.028,0.654,0.487
306,0.708,0.014,0.706,-0.007,0.655,0.473
307,0.709,0.011,0.705,-0.009,0.656,0.518
308,0.712,0.022,0.702,-0.02,0.657,0.475
309,0.717,0.024,0.697,-0.023,0.659,0.493
310,0.721,0.021,0.693,-0.034,0.66,0.517
311,0.724,0.025,0.69,-0.021,0.662,0.472
312,0.727,0.019,0.687,-0.017,0.664,0.46
313,0.729,0.015,0.685,-0.021,0.665,0.515
314,0.731,0.019,0.683,-0.021,0.666,0.508
315,0.733,0.012,0.681,-0.008,0.668,0.507
316,0.734,0.004,0.68,-0.006,0.669,0.493
317,0.737,0.01,0.676,-0.009,0.674,0.457
318,0.738,0.01,0.675,-0.013,0.676,0.489
319,0.74,0.002,0.673,-0.006,0.679,0.504
