,Norm True,Norm Predicted
0,0.0,0.049
1,0.006,0.057
2,0.007,0.069
3,0.009,0.064
4,0.01,0.049
5,0.013,0.055
6,0.014,0.07
7,0.017,0.069
8,0.019,0.061
9,0.022,0.072
10,0.026,0.08
11,0.029,0.066
12,0.035,0.085
13,0.038,0.078
14,0.039,0.087
15,0.041,0.068
16,0.042,0.089
17,0.045,0.087
18,0.048,0.087
19,0.053,0.102
20,0.057,0.1
21,0.06,0.106
22,0.064,0.097
23,0.07,0.105
24,0.071,0.085
25,0.073,0.088
26,0.079,0.108
27,0.086,0.109
28,0.087,0.113
29,0.092,0.121
30,0.098,0.131
31,0.101,0.127
32,0.103,0.127
33,0.106,0.131
34,0.109,0.12
35,0.11,0.147
36,0.112,0.125
37,0.118,0.138
38,0.122,0.141
39,0.128,0.15
40,0.131,0.161
41,0.135,0.144
42,0.139,0.17
43,0.141,0.153
44,0.145,0.175
45,0.148,0.156
46,0.15,0.179
47,0.156,0.169
48,0.158,0.19
49,0.161,0.192
50,0.163,0.193
51,0.164,0.183
52,0.166,0.202
53,0.167,0.195
54,0.168,0.201
55,0.169,0.203
56,0.172,0.205
57,0.173,0.186
58,0.175,0.222
59,0.178,0.203
60,0.18,0.223
61,0.183,0.222
62,0.185,0.21
63,0.187,0.221
64,0.19,0.235
65,0.192,0.219
66,0.194,0.235
67,0.198,0.222
68,0.203,0.226
69,0.206,0.243
70,0.208,0.227
71,0.214,0.251
72,0.219,0.252
73,0.223,0.254
74,0.226,0.253
75,0.23,0.256
76,0.234,0.266
77,0.24,0.282
78,0.243,0.274
79,0.246,0.29
80,0.249,0.294
81,0.251,0.28
82,0.252,0.29
83,0.253,0.285
84,0.254,0.274
85,0.255,0.293
86,0.262,0.298
87,0.266,0.302
88,0.268,0.285
89,0.274,0.293
90,0.28,0.317
91,0.283,0.324
92,0.287,0.301
93,0.289,0.316
94,0.29,0.318
95,0.293,0.338
96,0.296,0.333
97,0.297,0.332
98,0.302,0.328
99,0.303,0.349
100,0.306,0.324
101,0.31,0.334
102,0.314,0.356
103,0.319,0.351
104,0.323,0.366
105,0.327,0.354
106,0.328,0.366
107,0.331,0.341
108,0.333,0.37
109,0.334,0.346
110,0.337,0.357
111,0.339,0.381
112,0.343,0.37
113,0.347,0.381
114,0.35,0.383
115,0.353,0.377
116,0.357,0.398
117,0.362,0.38
118,0.367,0.401
119,0.369,0.396
120,0.374,0.382
121,0.376,0.413
122,0.382,0.388
123,0.386,0.415
124,0.389,0.412
125,0.39,0.407
126,0.392,0.42
127,0.395,0.417
128,0.396,0.416
129,0.401,0.436
130,0.402,0.41
131,0.405,0.434
132,0.407,0.409
133,0.411,0.43
134,0.415,0.44
135,0.418,0.436
136,0.42,0.45
137,0.427,0.436
138,0.429,0.448
139,0.431,0.446
140,0.434,0.459
141,0.438,0.445
142,0.44,0.465
143,0.441,0.446
144,0.442,0.467
145,0.443,0.447
146,0.444,0.456
147,0.446,0.442
148,0.449,0.464
149,0.452,0.457
150,0.453,0.477
151,0.456,0.475
152,0.46,0.467
153,0.46,0.481
154,0.461,0.474
155,0.464,0.463
156,0.466,0.469
157,0.467,0.481
158,0.468,0.48
159,0.472,0.464
160,0.473,0.497
161,0.475,0.485
162,0.478,0.474
163,0.478,0.495
164,0.483,0.475
165,0.484,0.488
166,0.487,0.469
167,0.49,0.49
168,0.494,0.478
169,0.498,0.47
170,0.501,0.502
171,0.506,0.487
172,0.507,0.504
173,0.51,0.503
174,0.515,0.511
175,0.516,0.49
176,0.519,0.507
177,0.523,0.502
178,0.528,0.521
179,0.532,0.518
180,0.538,0.519
181,0.542,0.518
182,0.551,0.526
183,0.557,0.506
184,0.564,0.535
185,0.567,0.509
186,0.57,0.534
187,0.572,0.528
188,0.574,0.536
189,0.578,0.539
190,0.58,0.538
191,0.582,0.519
192,0.584,0.541
193,0.586,0.528
194,0.587,0.521
195,0.589,0.526
196,0.591,0.522
197,0.593,0.523
198,0.597,0.514
199,0.599,0.517
